id,marka,seri,model,yil,kilometre,vites_tipi,yakit_tipi,kasa_tipi,renk,motor_hacmi,motor_gucu,degisen_sayisi,boyali_sayisi,kimden,fiyat
43799,Renault,Clio,1.3 TCe Touch,2020.0,108000.0,Otomatik,Benzin,Hatchback/5,Beyaz,1300.0,138.0,1.0,4.0,Galeriden,910000.0
43800,Renault,Clio,1.5 dCi Authentique,2006.0,245718.0,Düz,Dizel,Hatchback/5,Beyaz,1461.0,65.0,1.0,3.0,Sahibinden,325000.0
43801,Renault,Clio,1.5 dCi Grandtour Executive,2011.0,151000.0,Düz,Benzin,Station wagon,Kahverengi,1461.0,85.0,0.0,3.0,Galeriden,462500.0
43803,Renault,R 12,Toros,1996.0,299000.0,Düz,Benzin,Station wagon,Beyaz,1397.0,72.0,2.0,0.0,Galeriden,235000.0
43804,Renault,Megane,1.5 Blue DCI Touch,2019.0,179000.0,Otomatik,Benzin,Sedan,Beyaz,1500.0,113.0,0.0,0.0,Galeriden,1075000.0
43805,Renault,Scenic,1.6 RTE,1998.0,350000.0,Düz,Benzin,MPV,Gri,1598.0,90.0,0.0,0.0,Galeriden,275000.0
43806,Renault,Megane,1.6 RNA,1999.0,282000.0,Düz,Benzin,Sedan,Yeşil,1598.0,90.0,1.0,3.0,Galeriden,337500.0
43807,Renault,Clio,1.0 TCe Joy,2021.0,86000.0,Otomatik,Benzin,Hatchback/5,Gri,1200.0,88.0,1.0,1.0,Galeriden,835000.0
43808,Renault,Clio,1.2 Extreme,2011.0,200000.0,Düz,Benzin,Hatchback/5,Siyah,1200.0,63.0,0.0,6.0,Galeriden,439000.0
43810,Renault,Megane,1.5 dCi Touch,2017.0,132000.0,Otomatik,Benzin,Sedan,Beyaz,1500.0,113.0,1.0,0.0,Galeriden,849000.0
43811,Renault,Megane,1.3 TCe Joy,2023.0,31069.0,Otomatik,Benzin,Sedan,Füme,1300.0,138.0,0.0,0.0,Galeriden,1350000.0
43813,Renault,Symbol,1.5 dCi Joy,2014.0,147000.0,Düz,Dizel,Sedan,Gri (Gümüş),1461.0,90.0,0.0,2.0,Sahibinden,560000.0
43814,Renault,Symbol,1.5 dCi Authentique,2010.0,352000.0,Düz,Dizel,Sedan,Gri,1461.0,65.0,4.0,6.0,Sahibinden,350000.0
43815,Renault,Megane,1.5 dCi Touch,2017.0,115000.0,Yarı Otomatik,Dizel,Sedan,Gri (titanyum),1461.0,110.0,0.0,3.0,Sahibinden,1075900.0
43816,Renault,Megane,1.6 Dynamique,2004.0,252000.0,Düz,LPG & Benzin,Sedan,Yeşil,1598.0,115.0,0.0,2.0,Sahibinden,420000.0
43819,Renault,Latitude,1.5 dCi Privilege,2011.0,275000.0,Düz,Dizel,Sedan,Beyaz,1461.0,110.0,2.0,3.0,Sahibinden,480000.0
43822,Seat,Leon,1.6 TDI CR Style,2015.0,143000.0,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1598.0,105.0,0.0,0.0,Sahibinden,1055000.0
43823,Seat,Toledo,1.2 TSI Style,2015.0,132500.0,Düz,Benzin,Hatchback/5,Beyaz,1197.0,105.0,0.0,0.0,Sahibinden,740000.0
43824,Seat,Cordoba,1.4 TDI Stylance,2007.0,263000.0,Düz,Dizel,Sedan,Bordo,1422.0,80.0,3.0,6.0,Sahibinden,270000.0
43825,Seat,Leon,1.4 TSI FR,2011.0,200000.0,Düz,Benzin,Hatchback/5,Beyaz,1390.0,125.0,1.0,2.0,Sahibinden,600000.0
43828,Seat,Leon,1.4 EcoTSI FR,2016.0,117000.0,Yarı Otomatik,Benzin,Station wagon,Gri,1500.0,138.0,1.0,0.0,Sahibinden,1150000.0
43830,Seat,Toledo,1.4 TDI Style,2016.0,218000.0,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1422.0,90.0,0.0,0.0,Sahibinden,725000.0
43832,Seat,Leon,1.6 Stylance,2006.0,240000.0,Düz,LPG & Benzin,Hatchback/5,Siyah,1595.0,102.0,3.0,6.0,Sahibinden,440000.0
43834,Seat,Ibiza,1.4 Reference,2014.0,195000.0,Düz,Benzin,Hatchback/5,Beyaz,1390.0,85.0,0.0,2.0,Sahibinden,555000.0
43835,Seat,Leon,1.6 TDI CR Style,2013.0,206000.0,Düz,Dizel,Hatchback/5,Beyaz,1598.0,105.0,1.0,3.0,Sahibinden,740000.0
43836,Seat,Leon,1.6 Stylance,2008.0,184000.0,Düz,Benzin,Hatchback/5,Siyah,1595.0,102.0,0.0,8.0,Sahibinden,625000.0
43841,Seat,Ibiza,1.4 TDI Signo,2004.0,246000.0,Düz,Dizel,Hatchback/5,Beyaz,1422.0,75.0,0.0,4.0,Sahibinden,385000.0
43845,Seat,Leon,1.6 Stella,2003.0,185000.0,Düz,LPG & Benzin,Hatchback/5,Gri,1598.0,105.0,1.0,8.0,Sahibinden,430000.0
43847,Seat,Leon,1.0 eTSI Style Plus,2021.0,10400.0,Yarı Otomatik,Benzin,Hatchback/5,Kırmızı,999.0,110.0,0.0,0.0,Sahibinden,1350000.0
43848,Seat,Ibiza,1.0 Style,2022.0,29000.0,Düz,Benzin,Hatchback/5,Kırmızı,999.0,80.0,0.0,0.0,Sahibinden,860000.0
43850,Seat,Leon,1.6 Reference,2009.0,207000.0,Düz,Benzin,Hatchback/5,Siyah,1500.0,113.0,1.0,1.0,Galeriden,525000.0
43852,Seat,Leon,1.6 TDI Style,2017.0,132000.0,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1598.0,115.0,0.0,0.0,Sahibinden,1080000.0
43853,Seat,Leon,1.4 EcoTSI Xcellence,2017.0,191000.0,Otomatik,Benzin,Hatchback/5,Kırmızı,1300.0,138.0,3.0,7.0,Galeriden,855000.0
43855,Seat,Leon,1.4 TSI FR,2017.0,175000.0,Düz,Benzin,Hatchback/5,Beyaz,1300.0,113.0,0.0,0.0,Galeriden,1180000.0
43856,Seat,Ibiza,1.4 Reference,2014.0,223000.0,Düz,LPG & Benzin,Hatchback/5,Kırmızı,1390.0,85.0,1.0,2.0,Sahibinden,515000.0
43857,Seat,Toledo,1.8 Signo,2001.0,300000.0,Düz,LPG & Benzin,Sedan,Mavi (metalik),1781.0,125.0,1.0,4.0,Sahibinden,340000.0
43858,Seat,Leon,1.2 TSI Style,2017.0,50000.0,Düz,Benzin,Hatchback/5,Beyaz,1197.0,110.0,0.0,0.0,Sahibinden,1180000.0
43859,Seat,Ibiza,1.0 EcoTSI Style,2024.0,22000.0,Yarı Otomatik,Benzin,Hatchback/5,Gri (Gümüş),999.0,110.0,0.0,0.0,Sahibinden,1180000.0
43861,Seat,Leon,1.6 TDI CR Style,2013.0,258000.0,Yarı Otomatik,Dizel,Hatchback/5,Kırmızı,1598.0,105.0,0.0,1.0,Sahibinden,810000.0
43864,Seat,Leon,1.6 TDI Style,2015.0,214000.0,Düz,Dizel,Hatchback/5,Beyaz,1598.0,110.0,1.0,1.0,Sahibinden,850000.0
43866,Seat,Leon,1.6 Stylance,2006.0,283000.0,Düz,LPG & Benzin,Hatchback/5,Siyah,1595.0,102.0,0.0,4.0,Sahibinden,540000.0
43869,Tofaş,Doğan,S,1996.0,180000.0,Düz,LPG & Benzin,Sedan,Beyaz,1581.0,83.0,0.0,3.0,Sahibinden,255000.0
43871,Seat,Ibiza,1.0 Style,2022.0,64500.0,Düz,Benzin,Hatchback/5,Kırmızı,999.0,80.0,0.0,2.0,Sahibinden,850000.0
43873,Tofaş,Doğan,SLX,1994.0,250000.0,Düz,LPG & Benzin,Sedan,Lacivert,1581.0,83.0,0.0,0.0,Sahibinden,189000.0
43876,Tofaş,Doğan,SLX ie,1999.0,85000.0,Düz,LPG & Benzin,Sedan,Gri,1581.0,96.0,0.0,0.0,Sahibinden,240000.0
43900,Tofaş,Doğan,S,1995.0,360000.0,Düz,LPG & Benzin,Sedan,Kırmızı,1581.0,83.0,0.0,0.0,Sahibinden,245000.0
43902,Tofaş,Şahin,1.6 ie,1999.0,83000.0,Düz,LPG & Benzin,Sedan,Beyaz,1581.0,83.0,0.0,0.0,Sahibinden,260000.0
43906,Tofaş,Doğan,SLX,1996.0,125000.0,Düz,LPG & Benzin,Sedan,Beyaz,1581.0,83.0,2.0,0.0,Sahibinden,200000.0
43910,Tofaş,Doğan,S,1996.0,101000.0,Düz,LPG & Benzin,Sedan,Beyaz,1581.0,83.0,0.0,0.0,Sahibinden,215000.0
43911,Tofaş,Doğan,SLX,1995.0,212000.0,Düz,LPG & Benzin,Sedan,Turkuaz,1581.0,83.0,0.0,4.0,Sahibinden,225000.0
43917,Tofaş,Şahin,S,1995.0,200000.0,Düz,LPG & Benzin,Sedan,Beyaz,1581.0,80.0,0.0,2.0,Sahibinden,178000.0
43919,Audi,A1,1.6 TDI Sportback Attraction,2014.0,85000.0,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1598.0,90.0,1.0,3.0,Sahibinden,1200000.0
